word,count
hàng,363978
,333467
giao,259956
rất,243570
không,213148
có,211341
mình,203429
nhanh,192495
tốt,178110
mua,169062
phẩm,160405
sản,159408
sách,156203
và,154523
đẹp,154265
được,144193
nhưng,144159
là,133721
thì,128449
chất,125432
nên,125065
giá,124518
dùng,119365
gói,109520
lượng,107150
ko,106688
như,105480
tiki,103175
bị,102700
cho,98965
ok,97698
đóng,96703
shop,94867
với,88456
này,87162
mà,86080
đã,80894
thấy,78467
mới,78220
hơi,77245
chưa,76197
của,75690
cũng,74486
nhận,72910
hơn,71169
lại,69876
dụng,68956
quá,68944
để,67278
hay,64801
đúng,64218
nhiều,63801
khá,63098
về,62231
khi,61219
k,60969
ổn,60332
trong,60328
thận,58730
hình,58476
cẩn,58441
lắm,57427
sử,57137
sẽ,56779
lòng,56165
dễ,55789
còn,54374
sao,54231
đọc,53768
chắc,52751
hài,52739
máy,52159
cảm,51369
lần,51283
luôn,48947
thích,48464
phải,47867
ra,46801
đặt,46564
người,45553
hợp,45500
rồi,45450
biết,45339
cái,44149
một,42912
màu,41335
chỉ,40855
sau,40546
xài,39539
làm,38185
cả,37476
chắn,37032
nhỏ,36960
các,36730
sp,36527
vì,36030
vẫn,35903
dung,35713
đầu,35690
nữa,34867
tiền,34831
gì,34619
lâu,34453
đc,34451
nào,34254
vừa,33452
ngày,33343
ngon,33269
tôi,32991
cuốn,32807
vào,32155
nói,31810
bạn,31002
những,30581
ạ,30451
nha,30017
hộp,29973
rẻ,29146
ơn,28988
nội,28775
mùi,28743
hết,28640
tặng,28594
ở,28555
độ,28552
thể,28052
nhìn,28029
đến,27930
thời,27864
đi,27809
trên,27729
thêm,27558
da,27338
nghe,26521
ý,26413
bên,26406
hộ,26147
thơm,26056
đáng,25991
khác,25930
nhà,25784
chính,25743
từ,25722
ủng,25041
nhẹ,24691
gian,24552
nhé,24297
lúc,24223
so,23602
tay,23599
ng,23212
đánh,23164
vậy,23071
nước,22975
bảo,22958
tiện,22830
cực,22818
chung,22805
lên,22750
trước,22350
vọng,22000
thế,21827
bao,21683
tuy,21470
tình,21321
ăn,21161
bọc,21155
tiếp,21122
đổi,21114
thử,21087
mọi,20836
ảnh,20798
êm,20658
nó,20616
qua,20493
nhiệt,20421
hãng,20305
giống,20270
đủ,20084
sự,20072
loại,20052
bình,20011
hành,19887
cần,19847
nhiên,19828
ưng,19272
gọn,19153
phù,19060
siêu,18994
to,18946
ngoài,18921
mong,18868
do,18795
t,18741
tả,18712
tuyệt,18702
con,18685
n,18084
đó,18053
giấy,17964
dây,17731
nếu,17730
mẫu,17713
đơn,17472
lý,17455
bìa,17415
cách,17401
hôm,17318
tầm,17282
tâm,17184
giờ,17168
bé,17150
khó,17107
cao,17045
theo,16985
túi,16958
dịch,16956
sạc,16949
tạm,16923
pin,16908
hiệu,16890
kết,16866
nhân,16798
m,16727
thôi,16724
chuyển,16688
kèm,16611
thật,16419
sáng,16305
bán,16217
mô,16163
tác,16152
bền,16142
kỹ,16109
rõ,16066
i,16060
nguyên,16003
phần,15986
mặt,15933
mặc,15695
điện,15627
điều,15570
mềm,15559
đây,15485
hiểu,15452
móp,15434
lỗi,15325
đề,15190
xem,14997
nồi,14913
đang,14860
quả,14752
thường,14720
muốn,14694
vải,14683
tin,14646
bàn,14580
học,14567
dài,14547
in,14467
chịu,14450
điểm,14403
tính,14325
chạy,14300
dc,14285
cáo,14258
quyển,14257
sữa,14226
dù,14211
xong,14209
chuẩn,14201
mấy,14191
kiến,14102
vời,14095
trang,14067
nhất,14034
đều,13970
em,13951
lắp,13946
định,13927
động,13679
thứ,13678
sạch,13673
áo,13660
thực,13643
thân,13595
tháng,13565
